Date,Trade_Signal,Transaction,Returns(%)
26-03-2014,No_Trade,0,0
27-03-2014,No_Trade,0,0
30-03-2014,No_Trade,0,0
31-03-2014,No_Trade,0,0
01-04-2014,No_Trade,0,0
02-04-2014,No_Trade,0,0
03-04-2014,No_Trade,0,0
06-04-2014,No_Trade,0,0
07-04-2014,No_Trade,0,0
08-04-2014,No_Trade,0,0
09-04-2014,No_Trade,0,0
10-04-2014,No_Trade,0,0
13-04-2014,No_Trade,0,0
14-04-2014,No_Trade,0,0
15-04-2014,No_Trade,0,0
16-04-2014,No_Trade,0,0
20-04-2014,No_Trade,0,0
21-04-2014,No_Trade,0,0
22-04-2014,No_Trade,0,0
23-04-2014,No_Trade,0,0
24-04-2014,No_Trade,0,0
27-04-2014,No_Trade,0,0
28-04-2014,No_Trade,0,0
29-04-2014,No_Trade,0,0
30-04-2014,No_Trade,0,0
01-05-2014,No_Trade,0,0
04-05-2014,SELL,0,0
05-05-2014,No_Trade,515.142,0
06-05-2014,No_Trade,515.142,0
07-05-2014,No_Trade,515.142,0
08-05-2014,No_Trade,515.142,0
11-05-2014,No_Trade,515.142,0
12-05-2014,No_Trade,515.142,0
13-05-2014,No_Trade,515.142,0
14-05-2014,No_Trade,515.142,0
15-05-2014,No_Trade,515.142,0
18-05-2014,No_Trade,515.142,0
19-05-2014,No_Trade,515.142,0
20-05-2014,No_Trade,515.142,0
21-05-2014,BUY,515.142,0
22-05-2014,No_Trade,552.702,-7.29122
26-05-2014,No_Trade,552.702,0
27-05-2014,No_Trade,552.702,0
28-05-2014,No_Trade,552.702,0
29-05-2014,No_Trade,552.702,0
01-06-2014,No_Trade,552.702,0
02-06-2014,No_Trade,552.702,0
03-06-2014,No_Trade,552.702,0
04-06-2014,No_Trade,552.702,0
05-06-2014,No_Trade,552.702,0
08-06-2014,No_Trade,552.702,0
09-06-2014,No_Trade,552.702,0
10-06-2014,No_Trade,552.702,0
11-06-2014,No_Trade,552.702,0
12-06-2014,No_Trade,552.702,0
15-06-2014,No_Trade,552.702,0
16-06-2014,No_Trade,552.702,0
17-06-2014,No_Trade,552.702,0
18-06-2014,No_Trade,552.702,0
19-06-2014,No_Trade,552.702,0
22-06-2014,No_Trade,552.702,0
23-06-2014,No_Trade,552.702,0
24-06-2014,No_Trade,552.702,0
25-06-2014,No_Trade,552.702,0
26-06-2014,No_Trade,552.702,0
29-06-2014,No_Trade,552.702,0
30-06-2014,No_Trade,552.702,0
01-07-2014,No_Trade,552.702,0
02-07-2014,No_Trade,552.702,0
06-07-2014,No_Trade,552.702,0
07-07-2014,No_Trade,552.702,0
08-07-2014,No_Trade,552.702,0
09-07-2014,No_Trade,552.702,0
10-07-2014,No_Trade,552.702,0
13-07-2014,No_Trade,552.702,0
14-07-2014,No_Trade,552.702,0
15-07-2014,No_Trade,552.702,0
16-07-2014,No_Trade,552.702,0
17-07-2014,No_Trade,552.702,0
20-07-2014,No_Trade,552.702,0
21-07-2014,No_Trade,552.702,0
22-07-2014,No_Trade,552.702,0
23-07-2014,No_Trade,552.702,0
24-07-2014,No_Trade,552.702,0
27-07-2014,No_Trade,552.702,0
28-07-2014,No_Trade,552.702,0
29-07-2014,No_Trade,552.702,0
30-07-2014,No_Trade,552.702,0
31-07-2014,No_Trade,552.702,0
03-08-2014,SELL,552.702,0
04-08-2014,No_Trade,565.073,2.23811
05-08-2014,No_Trade,565.073,0
06-08-2014,No_Trade,565.073,0
07-08-2014,No_Trade,565.073,0
10-08-2014,No_Trade,565.073,0
11-08-2014,No_Trade,565.073,0
12-08-2014,No_Trade,565.073,0
13-08-2014,No_Trade,565.073,0
14-08-2014,No_Trade,565.073,0
17-08-2014,No_Trade,565.073,0
18-08-2014,No_Trade,565.073,0
19-08-2014,No_Trade,565.073,0
20-08-2014,BUY,565.073,0
21-08-2014,No_Trade,582.563,-3.09519
24-08-2014,No_Trade,582.563,0
25-08-2014,No_Trade,582.563,0
26-08-2014,No_Trade,582.563,0
27-08-2014,No_Trade,582.563,0
28-08-2014,SELL,582.563,0
01-09-2014,No_Trade,577.333,-0.897754
02-09-2014,No_Trade,577.333,0
03-09-2014,No_Trade,577.333,0
04-09-2014,BUY,577.333,0
07-09-2014,No_Trade,589.723,-2.14608
08-09-2014,No_Trade,589.723,0
09-09-2014,No_Trade,589.723,0
10-09-2014,No_Trade,589.723,0
11-09-2014,No_Trade,589.723,0
14-09-2014,No_Trade,589.723,0
15-09-2014,No_Trade,589.723,0
16-09-2014,No_Trade,589.723,0
17-09-2014,No_Trade,589.723,0
18-09-2014,No_Trade,589.723,0
21-09-2014,No_Trade,589.723,0
22-09-2014,No_Trade,589.723,0
23-09-2014,No_Trade,589.723,0
24-09-2014,No_Trade,589.723,0
25-09-2014,No_Trade,589.723,0
28-09-2014,No_Trade,589.723,0
29-09-2014,SELL,589.723,0
30-09-2014,No_Trade,568.273,-3.63731
01-10-2014,No_Trade,568.273,0
02-10-2014,No_Trade,568.273,0
05-10-2014,No_Trade,568.273,0
06-10-2014,No_Trade,568.273,0
07-10-2014,No_Trade,568.273,0
08-10-2014,No_Trade,568.273,0
